event_date,campaign_id,track_id,listener_segment,country,impressions,streams,saves,playlist_adds,repeat_listeners,skips
2026-06-07,C001,T002,New listener,US,7156,1116,98,51,121,294
2026-06-07,C001,T002,New listener,Canada,1166,150,12,6,18,38
2026-06-07,C001,T002,New listener,Mexico,1142,169,15,7,20,42
2026-06-07,C001,T002,Casual listener,US,5176,907,101,57,163,194
2026-06-07,C001,T002,Casual listener,Canada,2480,388,41,21,63,82
2026-06-07,C001,T002,Casual listener,Mexico,2830,455,49,24,81,90
2026-06-07,C001,T002,Existing fan,US,3283,698,116,52,175,113
2026-06-07,C001,T002,Existing fan,Canada,1770,346,56,30,93,51
2026-06-07,C001,T002,Existing fan,Mexico,2407,501,73,37,130,77
2026-06-07,C001,T002,Lapsed listener,US,8520,1546,158,94,311,293
2026-06-07,C001,T002,Lapsed listener,Canada,2327,416,43,23,82,80
2026-06-07,C001,T002,Lapsed listener,Mexico,1345,212,22,13,41,47
2026-06-08,C001,T002,New listener,US,9279,1199,102,58,128,269
2026-06-08,C001,T002,New listener,Canada,1804,237,19,10,27,52
2026-06-08,C001,T002,New listener,Mexico,1990,250,20,13,31,58
2026-06-08,C001,T002,Casual listener,US,9347,1543,163,87,251,307
2026-06-08,C001,T002,Casual listener,Canada,3119,443,45,24,76,105
2026-06-08,C001,T002,Casual listener,Mexico,2529,368,42,20,59,82
2026-06-08,C001,T002,Existing fan,US,5291,1002,169,83,269,143
2026-06-08,C001,T002,Existing fan,Canada,1140,216,34,17,62,32
2026-06-08,C001,T002,Existing fan,Mexico,1761,320,48,27,81,48
2026-06-08,C001,T002,Lapsed listener,US,3234,476,55,28,85,99
2026-06-08,C001,T002,Lapsed listener,Canada,2963,466,57,29,98,94
2026-06-08,C001,T002,Lapsed listener,Mexico,1207,198,22,11,42,43
2026-06-09,C001,T002,New listener,US,8699,1097,96,50,134,292
2026-06-09,C001,T002,New listener,Canada,1318,177,15,8,19,41
2026-06-09,C001,T002,New listener,Mexico,1346,202,15,9,22,49
2026-06-09,C001,T002,Casual listener,US,2857,409,42,23,63,94
2026-06-09,C001,T002,Casual listener,Canada,1848,269,28,17,47,54
2026-06-09,C001,T002,Casual listener,Mexico,1136,182,20,11,29,36
2026-06-09,C001,T002,Existing fan,US,6002,1126,190,100,270,172
2026-06-09,C001,T002,Existing fan,Canada,1797,362,54,30,103,62
2026-06-09,C001,T002,Existing fan,Mexico,1155,246,36,18,69,36
2026-06-09,C001,T002,Lapsed listener,US,7273,1075,127,61,228,236
2026-06-09,C001,T002,Lapsed listener,Canada,1790,282,33,15,59,62
2026-06-09,C001,T002,Lapsed listener,Mexico,1387,214,26,12,44,47
2026-06-10,C001,T002,New listener,US,4791,607,47,28,77,162
2026-06-10,C001,T002,New listener,Canada,1854,255,21,12,32,60
2026-06-10,C001,T002,New listener,Mexico,696,90,8,4,11,21
2026-06-10,C001,T002,Casual listener,US,3440,559,57,35,95,134
2026-06-10,C001,T002,Casual listener,Canada,1198,185,19,10,33,36
2026-06-10,C001,T002,Casual listener,Mexico,2383,395,45,25,64,85
2026-06-10,C001,T002,Existing fan,US,6056,1209,194,91,345,190
2026-06-10,C001,T002,Existing fan,Canada,2373,441,71,36,109,71
2026-06-10,C001,T002,Existing fan,Mexico,1857,375,63,31,95,59
2026-06-10,C001,T002,Lapsed listener,US,2165,344,36,21,68,68
